CD_METIER,CD_METIER_FAMILLE,Somme de CD_METIER_NB_CAR,CD_METIER_SS_FAMILLE,CD_METIER_TENSION,Année,Trimestre,Mois,Jour,LB_METIER,LB_METIER_FAMILLE,LB_METIER_SS_FAMILLE,Somme de NB_MATRIC
05Z400,05,6,05Z,N,2024,Qtr 4,décembre,20,Orthopédiste-orthésiste,Soins,Appareillage de personnes,0
05Z500,05,6,05Z,N,2024,Qtr 4,novembre,6,Orthoprothésiste,Soins,Appareillage de personnes,12
05Z600,05,6,05Z,N,2024,Qtr 4,novembre,6,Podo-orthésiste,Soins,Appareillage de personnes,5
05Z700,05,6,05Z,N,2024,Qtr 4,novembre,6,Prothésiste dentaire,Soins,Appareillage de personnes,16
10C100,10,6,10C,N,2024,Qtr 4,novembre,6,Responsable socio-éducatif,"Social, éducatif, psychologie et culturel",Management socio-éducatif,56
10C200,10,6,10C,N,2024,Qtr 4,novembre,6,Encadrant socio-éducatif,"Social, éducatif, psychologie et culturel",Management socio-éducatif,78
10C300,10,6,10C,O,2024,Qtr 4,novembre,6,Responsable de crèche,"Social, éducatif, psychologie et culturel",Management socio-éducatif,150
10C301,10,6,10C,N,2024,Qtr 4,novembre,6,Coordonnatrice de crèches,"Social, éducatif, psychologie et culturel",Management socio-éducatif,20
10F100,10,6,10F,O,2024,Qtr 4,novembre,6,Educateur spécialisé,"Social, éducatif, psychologie et culturel",Conception / Développement projets socio-éduc,180
10F200,10,6,10F,N,2024,Qtr 4,novembre,6,Educateur jeunes enfants,"Social, éducatif, psychologie et culturel",Conception / Développement projets socio-éduc,78
10F201,10,6,10F,N,2024,Qtr 4,novembre,6,Educateur J. Enfant crèche c.loisir,"Social, éducatif, psychologie et culturel",Conception / Développement projets socio-éduc,276
10F202,10,6,10F,N,2024,Qtr 4,novembre,6,Educateur J. Enfants serv cliniques,"Social, éducatif, psychologie et culturel",Conception / Développement projets socio-éduc,64
10F300,10,6,10F,O,2024,Qtr 4,novembre,6,Educateur technique spécialisé,"Social, éducatif, psychologie et culturel",Conception / Développement projets socio-éduc,62
10F400,10,6,10F,O,2024,Qtr 4,novembre,6,Assistant social,"Social, éducatif, psychologie et culturel",Conception / Développement projets socio-éduc,79
10F401,10,6,10F,O,2024,Qtr 4,novembre,6,Assistant social des usagers,"Social, éducatif, psychologie et culturel",Conception / Développement projets socio-éduc,1387
10F402,10,6,10F,O,2024,Qtr 4,novembre,6,Assistant social des personnels,"Social, éducatif, psychologie et culturel",Conception / Développement projets socio-éduc,115
10F500,10,6,10F,N,2024,Qtr 4,novembre,6,Conseiller éco sociale et familiale,"Social, éducatif, psychologie et culturel",Conception / Développement projets socio-éduc,35
10F600,10,6,10F,N,2024,Qtr 4,novembre,6,Mandataire judic protection majeurs,"Social, éducatif, psychologie et culturel",Conception / Développement projets socio-éduc,20
10F700,10,6,10F,N,2024,Qtr 4,novembre,6,Moniteur éducateur,"Social, éducatif, psychologie et culturel",Conception / Développement projets socio-éduc,35
10F800,10,6,10F,N,2024,Qtr 4,novembre,6,Educateur sportif,"Social, éducatif, psychologie et culturel",Conception / Développement projets socio-éduc,196
10FAA0,10,6,10F,O,2024,Qtr 4,novembre,6,Infirmière puéricultrice en crèche,"Social, éducatif, psychologie et culturel",Conception / Développement projets socio-éduc,115
10I100,10,6,10I,N,2024,Qtr 4,novembre,6,Aide médico psychologique,"Social, éducatif, psychologie et culturel",Assistance mise en oeuvre projets socio-éduc,71
10I101,10,6,10I,N,2024,Qtr 4,décembre,20,Assistant de soins en gérontologie,"Social, éducatif, psychologie et culturel",Assistance mise en oeuvre projets socio-éduc,0
10IAA0,10,6,10I,N,2024,Qtr 4,novembre,6,Auxiliaire de puériculture crèche,"Social, éducatif, psychologie et culturel",Assistance mise en oeuvre projets socio-éduc,1919
10IAB0,10,6,10I,N,2024,Qtr 4,novembre,6,Agent petite enfance,"Social, éducatif, psychologie et culturel",Assistance mise en oeuvre projets socio-éduc,652
10L200,10,6,10L,N,2024,Qtr 4,novembre,6,Ministre du culte,"Social, éducatif, psychologie et culturel","Socioculturel, loisirs et cultuel",139
10L300,10,6,10L,N,2024,Qtr 4,novembre,6,Animateur,"Social, éducatif, psychologie et culturel","Socioculturel, loisirs et cultuel",174
10L301,10,6,10L,N,2024,Qtr 4,novembre,6,Responsable de l animation,"Social, éducatif, psychologie et culturel","Socioculturel, loisirs et cultuel",28
10LAA0,10,6,10L,N,2024,Qtr 4,novembre,6,Agent d animation,"Social, éducatif, psychologie et culturel","Socioculturel, loisirs et cultuel",484
10P100,10,6,10P,N,2024,Qtr 4,novembre,6,Psychologue,"Social, éducatif, psychologie et culturel",Psychologie,2174
15D600,15,6,15D,N,2024,Qtr 4,novembre,6,Biostatisticien,Recherche clinique,"Conception, gestion, analyse des données",157
15D800,15,6,15D,N,2024,Qtr 4,novembre,6,Gestionnaire données biomédicales,Recherche clinique,"Conception, gestion, analyse des données",132
15F100,15,6,15F,N,2024,Qtr 4,novembre,6,Technicien d études cliniques,Recherche clinique,Investigation,1518
15F200,15,6,15F,N,2024,Qtr 4,novembre,6,Coordinateur d études cliniques,Recherche clinique,Investigation,240
15F300,15,6,15F,N,2024,Qtr 4,novembre,6,Ingénieur de recherche hospitalier,Recherche clinique,Investigation,1118
15F400,15,6,15F,N,2024,Qtr 4,novembre,6,Ingénieur d études hospitalier,Recherche clinique,Investigation,418
15FAA0,15,6,15F,N,2024,Qtr 4,novembre,6,Responsable de biobanque,Recherche clinique,Investigation,2
15FAB0,15,6,15F,O,2024,Qtr 4,novembre,6,Infirmier en recherche clinique,Recherche clinique,Investigation,90
15L100,15,6,15L,N,2024,Qtr 4,novembre,6,Assistant de recherche clinique,Recherche clinique,"Coordination, organisation et surveillance",1800
15L200,15,6,15L,N,2024,Qtr 4,novembre,6,Chef de projets recherche clinique,Recherche clinique,"Coordination, organisation et surveillance",451
15LAA0,15,6,15L,N,2024,Qtr 4,novembre,6,Coordo paramédical recherche SIRMT,Recherche clinique,"Coordination, organisation et surveillance",10
15LAB0,15,6,15L,N,2024,Qtr 4,novembre,6,Expert recherche cliniq innovation,Recherche clinique,"Coordination, organisation et surveillance",83
15LAC0,15,6,15L,N,2024,Qtr 4,novembre,6,Responsable de secteur/pôle DRCI,Recherche clinique,"Coordination, organisation et surveillance",30
15LAD0,15,6,15L,N,2024,Qtr 4,novembre,6,Cadre unités de recherche clinique,Recherche clinique,"Coordination, organisation et surveillance",22
15LAD1,15,6,15L,N,2024,Qtr 4,décembre,20,Encadrant de recherche clinique,Recherche clinique,"Coordination, organisation et surveillance",0
20C100,20,6,20C,N,2024,Qtr 4,novembre,6,Responsable des travaux,Ingénierie et maintenance techniques,"Management Ingénierie, maintenance technique",42
20C200,20,6,20C,N,2024,Qtr 4,novembre,6,Responsable services biomédicaux,Ingénierie et maintenance techniques,"Management Ingénierie, maintenance technique",45
20C201,20,6,20C,N,2024,Qtr 4,décembre,20,Administrateur GMAO biomédical,Ingénierie et maintenance techniques,"Management Ingénierie, maintenance technique",0
20C300,20,6,20C,N,2024,Qtr 4,novembre,6,Responsable de la maintenance TCE,Ingénierie et maintenance techniques,"Management Ingénierie, maintenance technique",69
20C301,20,6,20C,N,2024,Qtr 4,novembre,6,Administrateur GMAO GTC technique,Ingénierie et maintenance techniques,"Management Ingénierie, maintenance technique",8
20CAA0,20,6,20C,N,2024,Qtr 4,novembre,6,Responsable des services techniques,Ingénierie et maintenance techniques,"Management Ingénierie, maintenance technique",71
20CAA3,20,6,20C,N,2024,Qtr 4,novembre,6,Programmiste,Ingénierie et maintenance techniques,"Management Ingénierie, maintenance technique",17
20F100,20,6,20F,N,2024,Qtr 4,novembre,6,Conducteur d opérations TCE,Ingénierie et maintenance techniques,Ingénierie et réalisations tous corps d'état,104
20F200,20,6,20F,N,2024,Qtr 4,novembre,6,Conducteur de travaux TCE,Ingénierie et maintenance techniques,Ingénierie et réalisations tous corps d'état,127
20F700,20,6,20F,N,2024,Qtr 4,novembre,6,Dessinateur - projeteur TCE,Ingénierie et maintenance techniques,Ingénierie et réalisations tous corps d'état,67
20I100,20,6,20I,N,2024,Qtr 4,novembre,6,Maçon,Ingénierie et maintenance techniques,Maint clos/couverts et aménagement intérieurs,13
20I200,20,6,20I,N,2024,Qtr 4,novembre,6,Encadrant maint Corps Etat secondai,Ingénierie et maintenance techniques,Maint clos/couverts et aménagement intérieurs,49
20I300,20,6,20I,N,2024,Qtr 4,novembre,6,Agent maintenance générale bâtiment,Ingénierie et maintenance techniques,Maint clos/couverts et aménagement intérieurs,71
20I400,20,6,20I,N,2024,Qtr 4,novembre,6,Menuisier - agenceur,Ingénierie et maintenance techniques,Maint clos/couverts et aménagement intérieurs,117
20I500,20,6,20I,N,2024,Qtr 4,novembre,6,Métallier - serrurier,Ingénierie et maintenance techniques,Maint clos/couverts et aménagement intérieurs,170
20I600,20,6,20I,N,2024,Qtr 4,novembre,6,Peintre en bâtiment,Ingénierie et maintenance techniques,Maint clos/couverts et aménagement intérieurs,52
20IAA0,20,6,20I,N,2024,Qtr 4,novembre,6,Egoutier,Ingénierie et maintenance techniques,Maint clos/couverts et aménagement intérieurs,1
20L100,20,6,20L,N,2024,Qtr 4,novembre,6,Encadrant maintenance élec automat,Ingénierie et maintenance techniques,"Instal/Maint système élec,électro,automatisme",125
20L200,20,6,20L,N,2024,Qtr 4,novembre,6,Electromécanicien de maintenance,Ingénierie et maintenance techniques,"Instal/Maint système élec,électro,automatisme",157
20L201,20,6,20L,N,2024,Qtr 4,décembre,20,Automaticien de maintenance,Ingénierie et maintenance techniques,"Instal/Maint système élec,électro,automatisme",0
20L202,20,6,20L,N,2024,Qtr 4,novembre,6,Pneumaticien de maintenance,Ingénierie et maintenance techniques,"Instal/Maint système élec,électro,automatisme",3
20L400,20,6,20L,N,2024,Qtr 4,novembre,6,Electricien de maintenance,Ingénierie et maintenance techniques,"Instal/Maint système élec,électro,automatisme",466
20L401,20,6,20L,N,2024,Qtr 4,novembre,6,Electricien courants faibles,Ingénierie et maintenance techniques,"Instal/Maint système élec,électro,automatisme",18
20L402,20,6,20L,N,2024,Qtr 4,novembre,6,Electricien courants forts,Ingénierie et maintenance techniques,"Instal/Maint système élec,électro,automatisme",10
